aubrey_identifier,aubrey_manifestations,aubrey_filesets,has_ocr_text,dc_type,dc_language,untl_collection,untl_institution,str_title_serial,display_title
ark:/67531/metapth160230,1,2,false,text_letter,eng,CWADP,UNTA,"The David W. Fentress Family Letters\, 1856-1969","[Letter from Maud C. Fentress to David W. Fentress - March 1, 1856]"
ark:/67531/metapth160231,1,2,false,text_letter,eng,CWADP,UNTA,"The David W. Fentress Family Letters\, 1856-1969","[Letter from Maud C. Fentress to David W. Fentress, March 4, 1858]"
ark:/67531/metapth160232,1,2,false,text_letter,eng,CWADP,UNTA,"The David W. Fentress Family Letters\, 1856-1969","[Letter from Maud C. Fentress to David W. Fentress, January 17, 1859]"
ark:/67531/metapth160233,1,2,false,text_letter,eng,CWADP,UNTA,"The David W. Fentress Family Letters\, 1856-1969","[Letter from Maud C. Fentress to David W. Fentress, August 4, 1859]"
ark:/67531/metapth160234,1,2,false,text_letter,eng,CWADP,UNTA,"The David W. Fentress Family Letters\, 1856-1969","[Letter from Maud C. Fentress to David W. Fentress, August 29, 1859]"
ark:/67531/metapth1271337,1,1,false,text_letter,eng,"LTMR,ABCM",HSUL,,"[Letter from Lloyd I. Browne to Truett Latimer, March 13, 1959]"
ark:/67531/metapth1272947,1,1,false,text_letter,eng,"LTMR,ABCM",HSUL,56th Legislature of Texas,"[Letter from Alice Harvey to Truett Latimer, March 21, 1959]"
ark:/67531/metapth1269137,1,1,false,text_letter,eng,"LTMR,ABCM",HSUL,,"[Letter from J. A. Morgan to Truett Latimer, March 22, 1961]"
ark:/67531/metapth1269191,1,1,false,text_letter,eng,"LTMR,ABCM",HSUL,,"[Letter from Mrs. R. J. Miller to Truett Latimer, February 25, 1961]"
ark:/67531/metapth1269193,1,1,false,text_letter,eng,"LTMR,ABCM",HSUL,,"[Letter from E. B. Cox to Truett Latimer, March 18, 1959]"
ark:/67531/metapth1269229,1,1,false,text_letter,eng,"LTMR,ABCM",HSUL,,"[Letter from George Gray, Jr. to Truett Latimer, June 13, 1961]"
ark:/67531/metapth1269237,1,1,false,text_letter,eng,"LTMR,ABCM",HSUL,,"[Letter from Russell Howerton to Truett Latimer, January 11, 1961]"
ark:/67531/metapth1269253,1,1,false,text_letter,eng,"LTMR,ABCM",HSUL,,"[Letter from Willie M. Floyd to Truett Latimer, February 22, 1959]"
ark:/67531/metapth1269289,1,1,false,text_letter,eng,"LTMR,ABCM",HSUL,,"[Letter from Joe Smith to Truett Latimer, March 19, 1959]"
ark:/67531/metapth1269305,1,1,false,text_letter,eng,"LTMR,ABCM",HSUL,,"[Letter from Mrs. G. H. Cannon to Truett Latimer, April 27, 1961]"
